rank,country,globalIndex,ECONOMIC PARTICIPATION AND OPPORTUNITY,EDUCATIONAL ATTAINMENT,HEALTH AND SURVIVAL,POLITICAL EMPOWERMENT
1,Iceland,0.878,0.798,0.995,0.969,0.75
2,Norway,0.83,0.816,0.999,0.973,0.53
3,Finland,0.823,0.793,1,0.978,0.519
4,Rwanda,0.822,0.82,0.951,0.98,0.539
5,Sweden,0.816,0.809,0.999,0.969,0.486
6,Nicaragua,0.814,0.702,1,0.98,0.576
7,Slovenia,0.805,0.801,1,0.98,0.44
8,Ireland,0.794,0.71,1,0.971,0.493
9,New Zealand,0.791,0.768,0.998,0.969,0.43
10,Philippines,0.79,0.764,1,0.979,0.416
11,France,0.778,0.683,1,0.977,0.453
12,Germany,0.778,0.72,0.97,0.975,0.447
13,Namibia,0.777,0.813,0.999,0.98,0.318
14,Denmark,0.776,0.728,1,0.971,0.406
15,United Kingdom,0.77,0.705,0.999,0.971,0.404
16,Canada,0.769,0.744,1,0.97,0.361
17,Bolivia,0.758,0.692,0.956,0.976,0.408
18,Bulgaria,0.756,0.71,0.99,0.979,0.346
19,South Africa,0.756,0.652,0.993,0.98,0.399
20,Latvia,0.756,0.798,1,0.98,0.246
21,Switzerland,0.755,0.743,0.993,0.972,0.314
22,Burundi,0.755,0.911,0.876,0.98,0.255
23,Barbados,0.75,0.877,1,0.973,0.15
24,Spain,0.746,0.657,0.998,0.973,0.354
25,Cuba,0.745,0.629,1,0.97,0.382
26,Belarus,0.744,0.827,0.999,0.979,0.173
27,Bahamas,0.743,0.871,1,0.978,0.122
28,Lithuania,0.742,0.749,1,0.98,0.241
29,Mozambique,0.741,0.789,0.857,0.977,0.34
30,Moldova,0.74,0.811,0.992,0.98,0.176
31,Belgium,0.739,0.716,1,0.976,0.264
32,Netherlands,0.737,0.657,1,0.97,0.323
33,Portugal,0.734,0.73,0.992,0.977,0.24
34,Argentina,0.732,0.596,0.998,0.98,0.356
35,Australia,0.731,0.724,1,0.97,0.232
36,Colombia,0.731,0.74,1,0.98,0.206
37,Estonia,0.731,0.726,1,0.979,0.218
38,Albania,0.728,0.673,0.986,0.968,0.284
39,Poland,0.728,0.702,1,0.98,0.23
40,Serbia,0.727,0.67,0.997,0.98,0.262
41,Costa Rica,0.727,0.62,0.999,0.974,0.314
42,Ecuador,0.724,0.642,0.996,0.977,0.283
43,Panama,0.722,0.691,0.995,0.98,0.222
44,Israel,0.721,0.681,1,0.971,0.232
45,Uganda,0.721,0.693,0.913,0.973,0.305
46,Botswana,0.72,0.822,1,0.978,0.079
47,Bangladesh,0.719,0.465,0.954,0.966,0.493
48,Peru,0.719,0.632,0.988,0.978,0.277
49,United States,0.718,0.776,1,0.973,0.124
50,Zimbabwe,0.717,0.71,0.986,0.976,0.197
51,Jamaica,0.717,0.725,1,0.972,0.171
52,Kazakhstan,0.713,0.744,0.997,0.979,0.13
53,Mongolia,0.713,0.776,0.993,0.98,0.102
54,Croatia,0.711,0.689,0.995,0.98,0.18
55,Honduras,0.711,0.669,1,0.974,0.2
