Country,IndexRank,GlobalIndex,ValueRank,Value,Region
Luxembourg,59,0.706,1,105803,WESTERN EUROPE
Switzerland,21,0.755,2,80591,WESTERN EUROPE
Norway,2,0.83,3,74941,WESTERN EUROPE
Ireland,8,0.794,4,70638,WESTERN EUROPE
Iceland,1,0.878,5,70332,WESTERN EUROPE
Qatar,130,0.626,6,60804,MIDDLE EAST AND NORTH AFRICA
United States,49,0.718,7,59501,NORTH AMERICA
Singapore,65,0.702,8,57713,EAST ASIA AND THE PACIFIC
Denmark,14,0.776,9,56444,WESTERN EUROPE
Australia,35,0.731,10,55707,EAST ASIA AND THE PACIFIC
Sweden,5,0.816,11,53218,WESTERN EUROPE
Netherlands,32,0.737,12,48346,WESTERN EUROPE
Austria,57,0.709,14,47290,WESTERN EUROPE
Finland,3,0.823,15,46017,WESTERN EUROPE
Canada,16,0.769,16,45077,NORTH AMERICA
Germany,12,0.778,17,44550,WESTERN EUROPE
Belgium,31,0.739,18,43582,WESTERN EUROPE
New Zealand,9,0.791,19,41593,EAST ASIA AND THE PACIFIC
Israel,44,0.721,20,40258,MIDDLE EAST AND NORTH AFRICA
France,11,0.778,21,39869,WESTERN EUROPE
United Kingdom,15,0.77,22,39735,WESTERN EUROPE
Japan,114,0.657,23,39440,EAST ASIA AND THE PACIFIC
United Arab Emirates,120,0.649,24,37226,MIDDLE EAST AND NORTH AFRICA
Italy,82,0.692,25,31984,WESTERN EUROPE
Bahamas,27,0.743,26,31255,LATIN AMERICA AND THE CARIBBEAN
"Korea, Rep.",118,0.65,27,30091,EAST ASIA AND THE PACIFIC
Brunei Darussalam,102,0.671,28,29712,EAST ASIA AND THE PACIFIC
Spain,24,0.746,29,28359,WESTERN EUROPE
Kuwait,129,0.628,30,27319,MIDDLE EAST AND NORTH AFRICA
Malta,93,0.682,31,27250,WESTERN EUROPE
Cyprus,92,0.684,32,24976,WESTERN EUROPE
Bahrain,126,0.632,33,24029,MIDDLE EAST AND NORTH AFRICA
Slovenia,7,0.805,34,23654,EASTERN EUROPE AND CENTRAL ASIA
Portugal,33,0.734,35,21161,WESTERN EUROPE
Saudi Arabia,138,0.584,36,21120,MIDDLE EAST AND NORTH AFRICA
Czech Republic,88,0.688,37,20152,EASTERN EUROPE AND CENTRAL ASIA
Estonia,37,0.731,38,19840,EASTERN EUROPE AND CENTRAL ASIA
Greece,78,0.692,39,18637,WESTERN EUROPE
Barbados,23,0.75,41,17859,LATIN AMERICA AND THE CARIBBEAN
Slovak Republic,74,0.694,42,17664,EASTERN EUROPE AND CENTRAL ASIA
Lithuania,28,0.742,44,16730,EASTERN EUROPE AND CENTRAL ASIA
Uruguay,56,0.71,45,16722,LATIN AMERICA AND THE CARIBBEAN
Latvia,20,0.756,50,15547,EASTERN EUROPE AND CENTRAL ASIA
Hungary,103,0.67,51,15531,EASTERN EUROPE AND CENTRAL ASIA
Panama,43,0.722,52,15089,LATIN AMERICA AND THE CARIBBEAN
Chile,63,0.704,53,15070,LATIN AMERICA AND THE CARIBBEAN
Argentina,34,0.732,54,14467,LATIN AMERICA AND THE CARIBBEAN
Poland,39,0.728,55,13823,EASTERN EUROPE AND CENTRAL ASIA
Croatia,54,0.711,56,13138,EASTERN EUROPE AND CENTRAL ASIA
Maldives,106,0.669,58,12527,SOUTH ASIA
Costa Rica,41,0.727,59,11685,LATIN AMERICA AND THE CARIBBEAN
