Country,IndexRank,GlobalIndex,ValueRank,Value,Region
Iceland,1,0.878,103,29109,WESTERN EUROPE
Norway,2,0.83,28,443252,WESTERN EUROPE
Finland,3,0.823,42,289557,WESTERN EUROPE
Rwanda,4,0.822,141,9944,SUB-SAHARAN AFRICA
Sweden,5,0.816,24,600771,WESTERN EUROPE
Nicaragua,6,0.814,125,14532,LATIN AMERICA AND THE CARIBBEAN
Slovenia,7,0.805,80,56933,EASTERN EUROPE AND CENTRAL ASIA
Ireland,8,0.794,32,385142,WESTERN EUROPE
New Zealand,9,0.791,53,220888,EAST ASIA AND THE PACIFIC
Philippines,10,0.79,40,313419,EAST ASIA AND THE PACIFIC
France,11,0.778,6,2925096,WESTERN EUROPE
Germany,12,0.778,4,4211635,WESTERN EUROPE
Namibia,13,0.777,129,13298,SUB-SAHARAN AFRICA
Denmark,14,0.776,35,369760,WESTERN EUROPE
United Kingdom,15,0.77,5,2936286,WESTERN EUROPE
Canada,16,0.769,10,1798512,NORTH AMERICA
Bolivia,17,0.758,94,40737,LATIN AMERICA AND THE CARIBBEAN
Bulgaria,18,0.756,76,64781,EASTERN EUROPE AND CENTRAL ASIA
South Africa,19,0.756,34,370887,SUB-SAHARAN AFRICA
Latvia,20,0.756,99,35915,EASTERN EUROPE AND CENTRAL ASIA
Switzerland,21,0.755,20,741688,WESTERN EUROPE
Burundi,22,0.755,159,3805,SUB-SAHARAN AFRICA
Barbados,23,0.75,154,5317,LATIN AMERICA AND THE CARIBBEAN
Spain,24,0.746,13,1506439,WESTERN EUROPE
Belarus,26,0.744,79,59246,EASTERN EUROPE AND CENTRAL ASIA
Bahamas,27,0.743,134,12318,LATIN AMERICA AND THE CARIBBEAN
Lithuania,28,0.742,82,54352,EASTERN EUROPE AND CENTRAL ASIA
Mozambique,29,0.741,127,14321,SUB-SAHARAN AFRICA
Moldova,30,0.74,144,9202,EASTERN EUROPE AND CENTRAL ASIA
Belgium,31,0.739,25,562229,WESTERN EUROPE
Netherlands,32,0.737,17,945327,WESTERN EUROPE
Portugal,33,0.734,46,248891,WESTERN EUROPE
Argentina,34,0.732,21,625921,LATIN AMERICA AND THE CARIBBEAN
Australia,35,0.731,14,1500256,EAST ASIA AND THE PACIFIC
Colombia,36,0.731,39,327978,LATIN AMERICA AND THE CARIBBEAN
Estonia,37,0.731,101,30821,EASTERN EUROPE AND CENTRAL ASIA
Albania,38,0.728,121,15289,EASTERN EUROPE AND CENTRAL ASIA
Poland,39,0.728,22,614190,EASTERN EUROPE AND CENTRAL ASIA
Serbia,40,0.727,86,48279,EASTERN EUROPE AND CENTRAL ASIA
Costa Rica,41,0.727,77,61287,LATIN AMERICA AND THE CARIBBEAN
Ecuador,42,0.724,63,106621,LATIN AMERICA AND THE CARIBBEAN
Panama,43,0.722,75,66711,LATIN AMERICA AND THE CARIBBEAN
Israel,44,0.721,33,373751,MIDDLE EAST AND NORTH AFRICA
Uganda,45,0.721,104,27616,SUB-SAHARAN AFRICA
Botswana,46,0.72,116,18620,SUB-SAHARAN AFRICA
Bangladesh,47,0.719,43,285817,SOUTH ASIA
Peru,48,0.719,50,231567,LATIN AMERICA AND THE CARIBBEAN
United States,49,0.718,1,20412870,NORTH AMERICA
Zimbabwe,50,0.717,115,19395,SUB-SAHARAN AFRICA
Jamaica,51,0.717,122,15256,LATIN AMERICA AND THE CARIBBEAN
