RANK,COUNTRY,"(BIRTHS/1,000 POPULATION)",DATE OF INFORMATION
1,ANGOLA,44.2,2017 EST.
2,NIGER,44.2,2017 EST.
3,MALI,43.9,2017 EST.
4,UGANDA,42.9,2017 EST.
5,ZAMBIA,41.5,2017 EST.
6,BURUNDI,41.3,2017 EST.
7,BURKINA FASO,41.2,2017 EST.
8,MALAWI,41,2017 EST.
9,SOMALIA,39.6,2017 EST.
10,LIBERIA,38.3,2017 EST.
11,MOZAMBIQUE,38.1,2017 EST.
12,AFGHANISTAN,37.9,2017 EST.
13,NIGERIA,36.9,2017 EST.
14,ETHIOPIA,36.5,2017 EST.
15,SIERRA LEONE,36.3,2017 EST.
16,TANZANIA,35.6,2017 EST.
17,CHAD,35.6,2017 EST.
18,SOUTH SUDAN,35.5,2017 EST.
19,CAMEROON,35.4,2017 EST.
20,GUINEA,35.1,2017 EST.
21,BENIN,35,2017 EST.
22,"CONGO, REPUBLIC OF THE",34.4,2017 EST.
23,CENTRAL AFRICAN REPUBLIC,34.3,2017 EST.
24,GABON,34.2,2017 EST.
25,ZIMBABWE,34.2,2017 EST.
26,"CONGO, DEMOCRATIC REPUBLIC OF THE",33.5,2017 EST.
27,TIMOR-LESTE,33.4,2017 EST.
28,SENEGAL,33.4,2017 EST.
29,TOGO,33.3,2017 EST.
30,GUINEA-BISSAU,32.5,2017 EST.
31,SAO TOME AND PRINCIPE,32.4,2017 EST.
32,EQUATORIAL GUINEA,32.2,2017 EST.
33,MADAGASCAR,31.6,2017 EST.
34,GAZA STRIP,31.4,2017 EST.
35,RWANDA,30.7,2017 EST.
36,GHANA,30.5,2017 EST.
37,IRAQ,30.4,2017 EST.
38,MAURITANIA,30.4,2017 EST.
39,ERITREA,29.6,2017 EST.
40,EGYPT,29.6,2017 EST.
41,"GAMBIA, THE",29.4,2017 EST.
42,WESTERN SAHARA,29.3,2017 EST.
43,YEMEN,28.4,2017 EST.
44,SUDAN,27.9,2017 EST.
45,COTE D'IVOIRE,27.7,2017 EST.
46,NAMIBIA,27.3,2017 EST.
47,WEST BANK,26.3,2017 EST.
48,COMOROS,26.1,2017 EST.
49,SOLOMON ISLANDS,24.9,2017 EST.
50,LESOTHO,24.6,2017 EST.
51,MARSHALL ISLANDS,24.4,2017 EST.
52,GUATEMALA,24.1,2017 EST.
53,BELIZE,24,2017 EST.
54,OMAN,24,2017 EST.
55,SWAZILAND,24,2017 EST.
56,NAURU,24,2017 EST.
57,VANUATU,24,2017 EST.
58,JORDAN,23.9,2017 EST.
59,KENYA,23.9,2017 EST.
60,PAPUA NEW GUINEA,23.7,2017 EST.
61,PHILIPPINES,23.7,2017 EST.
62,TUVALU,23.7,2017 EST.
63,LAOS,23.6,2017 EST.
64,DJIBOUTI,23.4,2017 EST.
65,TAJIKISTAN,23.3,2017 EST.
66,HAITI,23,2017 EST.
67,CAMBODIA,23,2017 EST.
68,HONDURAS,22.4,2017 EST.
69,ALGERIA,22.2,2017 EST.
70,TONGA,22.2,2017 EST.
71,BOTSWANA,22.1,2017 EST.
72,KYRGYZSTAN,22.1,2017 EST.
73,BOLIVIA,22,2017 EST.
74,PAKISTAN,21.9,2017 EST.
75,SYRIA,21.2,2017 EST.
76,KIRIBATI,21.2,2017 EST.
77,SAMOA,20.4,2017 EST.
78,SOUTH AFRICA,20.2,2017 EST.
79,CABO VERDE,20,2017 EST.
80,"MICRONESIA, FEDERATED STATES OF",20,2017 EST.
81,GUAM,19.7,2017 EST.
82,AMERICAN SAMOA,19.6,2017 EST.
83,NEPAL,19.5,2017 EST.
84,KUWAIT,19.2,2017 EST.
85,MALAYSIA,19.1,2017 EST.
86,TURKMENISTAN,19.1,2017 EST.
87,INDIA,19,2017 EST.
88,MONGOLIA,18.9,2017 EST.
89,BANGLADESH,18.8,2017 EST.
90,VENEZUELA,18.8,2017 EST.
91,FIJI,18.6,2017 EST.
92,DOMINICAN REPUBLIC,18.4,2017 EST.
93,SAUDI ARABIA,18.3,2017 EST.
94,MEXICO,18.3,2017 EST.
95,TUNISIA,18.2,2017 EST.
96,ISRAEL,18.1,2017 EST.
97,BURMA,18.1,2017 EST.
98,KAZAKHSTAN,18.1,2017 EST.
99,JAMAICA,17.9,2017 EST.
100,PANAMA,17.9,2017 EST.
101,IRAN,17.9,2017 EST.
102,ECUADOR,17.9,2017 EST.
103,PERU,17.8,2017 EST.
104,NICARAGUA,17.7,2017 EST.
105,MOROCCO,17.7,2017 EST.
106,LIBYA,17.5,2017 EST.
107,BHUTAN,17.3,2017 EST.
108,BRUNEI,17,2017 EST.
109,UZBEKISTAN,16.8,2017 EST.
110,ARGENTINA,16.7,2017 EST.
111,PARAGUAY,16.6,2017 EST.
112,EL SALVADOR,16.2,2017 EST.
113,INDONESIA,16.2,2017 EST.
114,COLOMBIA,16.1,2017 EST.
115,MALDIVES,16.1,2017 EST.
116,AZERBAIJAN,15.8,2017 EST.
117,SURINAME,15.8,2017 EST.
118,ANTIGUA AND BARBUDA,15.7,2017 EST.
119,TURKEY,15.7,2017 EST.
120,COSTA RICA,15.5,2017 EST.
121,GRENADA,15.5,2017 EST.
122,VIETNAM,15.5,2017 EST.
123,GUYANA,15.4,2017 EST.
124,TURKS AND CAICOS ISLANDS,15.3,2017 EST.
125,"BAHAMAS, THE",15.3,2017 EST.
126,SRI LANKA,15.2,2017 EST.
127,DOMINICA,15.1,2017 EST.
128,UNITED ARAB EMIRATES,15.1,2017 EST.
129,NEW CALEDONIA,15,2017 EST.
130,NORTHERN MARIANA ISLANDS,15,2017 EST.
131,FRENCH POLYNESIA,14.8,2017 EST.
132,"KOREA, NORTH",14.6,2017 EST.
133,GREENLAND,14.4,2017 EST.
134,FAROE ISLANDS,14.3,2017 EST.
135,LEBANON,14.3,2017 EST.
136,BRAZIL,14.1,2017 EST.
137,IRELAND,14.1,2017 EST.
138,COOK ISLANDS,14,2017 EST.
139,GIBRALTAR,14,2017 EST.
140,CURACAO,13.7,2017 EST.
141,ICELAND,13.7,2017 EST.
142,SEYCHELLES,13.7,2017 EST.
143,CHILE,13.6,2017 EST.
144,SAINT LUCIA,13.3,2017 EST.
145,BAHRAIN,13.3,2017 EST.
146,SAINT VINCENT AND THE GRENADINES,13.2,2017 EST.
147,SAINT KITTS AND NEVIS,13.2,2017 EST.
148,WALLIS AND FUTUNA,13.2,2017 EST.
149,ALBANIA,13.2,2017 EST.
150,NEW ZEALAND,13.2,2017 EST.
151,SINT MAARTEN,13.1,2017 EST.
152,URUGUAY,13,2017 EST.
153,MAURITIUS,13,2017 EST.
154,ARMENIA,12.9,2017 EST.
155,VIRGIN ISLANDS,12.8,2017 EST.
156,TRINIDAD AND TOBAGO,12.7,2017 EST.
157,ANGUILLA,12.5,2017 EST.
158,UNITED STATES,12.5,2017 EST.
159,ARUBA,12.4,2017 EST.
160,JERSEY,12.4,2017 EST.
161,CHINA,12.3,2017 EST.
162,GEORGIA,12.3,2017 EST.
163,FRANCE,12.2,2017 EST.
164,NORWAY,12.2,2017 EST.
165,AUSTRALIA,12.1,2017 EST.
166,UNITED KINGDOM,12.1,2017 EST.
167,SWEDEN,12.1,2017 EST.
168,CAYMAN ISLANDS,12,2017 EST.
169,BARBADOS,11.7,2017 EST.
170,LUXEMBOURG,11.5,2017 EST.
171,MOLDOVA,11.5,2017 EST.
172,MACEDONIA,11.4,2017 EST.
173,BERMUDA,11.3,2017 EST.
174,PALAU,11.3,2017 EST.
175,BELGIUM,11.3,2017 EST.
176,CYPRUS,11.3,2017 EST.
177,BRITISH VIRGIN ISLANDS,11.1,2017 EST.
178,RUSSIA,11,2017 EST.
179,THAILAND,11,2017 EST.
180,ISLE OF MAN,11,2017 EST.
181,FALKLAND ISLANDS (ISLAS MALVINAS),10.9,2012 EST.
182,NETHERLANDS,10.9,2017 EST.
183,MONTSERRAT,10.8,2017 EST.
184,CUBA,10.7,2017 EST.
185,FINLAND,10.7,2017 EST.
186,DENMARK,10.5,2017 EST.
187,SWITZERLAND,10.5,2017 EST.
188,LIECHTENSTEIN,10.4,2017 EST.
189,UKRAINE,10.3,2017 EST.
190,CANADA,10.3,2017 EST.
191,BELARUS,10.3,2017 EST.
192,MALTA,10.1,2017 EST.
193,ESTONIA,10.1,2017 EST.
194,MONTENEGRO,10,2017 EST.
195,LITHUANIA,9.9,2017 EST.
196,GUERNSEY,9.8,2017 EST.
197,SLOVAKIA,9.7,2017 EST.
198,LATVIA,9.7,2017 EST.
199,QATAR,9.6,2017 EST.
200,"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",9.6,2017 EST.
201,AUSTRIA,9.5,2017 EST.
202,POLAND,9.5,2017 EST.
203,CZECHIA,9.3,2017 EST.
204,SPAIN,9.2,2017 EST.
205,HUNGARY,9,2017 EST.
206,SERBIA,9,2017 EST.
207,PORTUGAL,9,2017 EST.
208,HONG KONG,8.9,2017 EST.
209,ROMANIA,8.9,2017 EST.
210,CROATIA,8.9,2017 EST.
211,BOSNIA AND HERZEGOVINA,8.8,2017 EST.
212,BULGARIA,8.7,2017 EST.
213,GERMANY,8.6,2017 EST.
